Time,Channel A,Channel B,Channel C,Channel D,Channel H
(ms),(V),(V),(V),(V),(mV)

28.55487832,-1.57337300,-1.91521200,-3.13911600,-3.95098300,-11.83616000
28.56487832,-1.60084200,-1.91521200,-3.16658500,-3.92351400,-11.50653000
28.57487832,-1.57337300,-1.88926900,-3.16658500,-3.95098300,-12.49542000
28.58487832,-1.57337300,-1.88926900,-3.13911600,-3.95098300,-11.28678000
28.59487832,-1.57337300,-1.91521200,-3.16658500,-3.95098300,-11.39666000
28.60487832,-1.57337300,-1.91521200,-3.13911600,-3.92351400,-11.72628000
28.61487832,-1.60084200,-1.91521200,-3.16658500,-3.95098300,-12.05591000
28.62487832,-1.54590400,-1.91521200,-3.13911600,-3.95098300,-11.28678000
28.63487832,-1.57337300,-1.91521200,-3.13911600,-3.95098300,-11.17690000
28.64487832,-1.57337300,-1.91521200,-3.19405400,-3.95098300,-11.72628000
28.65487832,-1.57337300,-1.91521200,-3.13911600,-3.95098300,-10.96325000
28.66487832,-1.60084200,-1.91521200,-3.16658500,-3.95098300,-12.16579000
28.67487832,-1.57337300,-1.91521200,-3.13911600,-3.95098300,-11.50653000
28.68487832,-1.60084200,-1.91521200,-3.16658500,-3.97845200,-11.61641000
28.69487832,-1.62678600,-1.94268100,-3.16658500,-3.97845200,-10.41387000
28.70487832,-1.60084200,-1.86179900,-3.16658500,-3.89757000,-11.72628000
28.71487832,-1.57337300,-1.91521200,-3.13911600,-3.92351400,-11.83616000
28.72487832,-1.54590400,-1.94268100,-3.13911600,-3.95098300,-11.61641000
28.73487832,-1.62678600,-1.91521200,-3.13911600,-3.92351400,-11.39666000
28.74487832,-1.60084200,-1.91521200,-3.16658500,-3.95098300,-11.83616000
28.75487831,-1.57337300,-1.88926900,-3.16658500,-3.87010100,-11.94604000
28.76487831,-1.57337300,-1.88926900,-3.13911600,-3.92351400,-11.61641000
28.77487831,-1.57337300,-1.88926900,-3.11317300,-3.92351400,-10.96325000
28.78487831,-1.57337300,-1.88926900,-3.16658500,-3.95098300,-10.96325000
28.79487831,-1.57337300,-1.91521200,-3.16658500,-3.92351400,-11.72628000
28.80487831,-1.57337300,-1.88926900,-3.13911600,-3.92351400,-12.38554000
28.81487831,-1.57337300,-1.91521200,-3.13911600,-3.89757000,-12.05591000
28.82487831,-1.60084200,-1.88926900,-3.08570400,-3.87010100,-12.05591000
28.83487831,-1.60084200,-1.91521200,-3.13911600,-3.89757000,-11.28678000
28.84487831,-1.57337300,-1.88926900,-3.16658500,-3.89757000,-10.96325000
28.85487831,-1.57337300,-1.88926900,-3.13911600,-3.92351400,-11.83616000
28.86487831,-1.57337300,-1.88926900,-3.11317300,-3.89757000,-12.16579000
28.87487831,-1.57337300,-1.86179900,-3.08570400,-3.87010100,-11.50653000
28.88487831,-1.60084200,-1.91521200,-3.11317300,-3.95098300,-12.38554000
